作品关键词,,,,,,
"序
号",图集名称,中文关键词,英文关键词,成品效果样板图,,备注
80,,在晨光中，俯视图，赛博朋克城在云端，宇宙飞船穿梭在空中，暖色调，4K，详细，安东法迪夫的艺术站,"In the morning light, top view, cyberpunk city on the clouds, spaceships shuttle in the air, warm colors, 4K, detailed, Anton fadeev of the art station",,,
81,,九天画的一幅美丽的天堂花园画，在艺术工作站中呈现。光的效果。,"A beautiful painting of heaven garden by empyrean, rendered in artstation.light effect.",,,
82,,宇宙飞船停在近地轨道，宇宙的颜色是牛奶咖啡，艺术站，4k虚幻引擎CGSociety by Aaron Limonick，无敌舰队,"A spaceship is parked in low Earth orbit，The color of the universe is milk coffee，artstation,4k unreal engine CGSociety by Aaron Limonick,Armada",,,
83,,“在一个漆黑的夜晚，远处的天空下有一座巨大的白色城堡，天空中有无数的星星在闪烁，在artstation上Trending”，“4k”，“Thomas Kinkade”，“油画”,"""On a dark night, there was a huge white castle under the sky in the distance, and there were countless stars shining in the sky, Trending on artstation."",""4k"",""by Thomas Kinkade"",""oil painting""",,,
84,,一幅美丽的大明宫画，灯光，雨，雾，未知，紫色的闪电穿过空气，远眺，王俊玲在艺台上,"a Beautiful painting of Daming Palace， lights,rain，fog，unknown，Purple lightning travels through the air,overlook, Junling Wang on artstation",,,
85,,“中午，琥珀和白色的寺庙在云，浅黄色的天空，青色和粉红色的云，艺术站”,"""at noon, amber and white temple in the clouds, light yellow sky, cyan and pink clouds,artstation""",,,
86,,夜空中柔和的月光，古老而优雅的中国建筑屹立在天空中的小岛上，瀑布沿着云雾而下，在monmagnificent john howe景观中，背光，幻想，高清，greg rutkowski，艺术工作站，虚幻的引擎，灯光效果，wlop童话,"soft moonlight in the night sky, Ancient and elegant Chinese buildings stand on small islands in the sky, waterfalls descend along the clouds and mists, in monmagnificent john howe landscape, backlight, fantasy, high-definition, greg rutkowski, artstation, unreal engine, light effect, wlop fairy tale",,,
87,,无人区，美丽的波浪，幻想，童话，暖色系，云，艺术站，维塔利·宝格罗夫，凯莱布·伍斯特”,"No Man's Sky, beautiful waves, fantasy, fairy tales，Warm color department , clouds, art stations, Vitaly Bulgarov , Caleb Worcester""",,,
88,,一幅美丽的海滩画，夕阳照在海浪上，莫奈，8k，超广角，虚幻的引擎，五颜六色的可以,"A beautiful painting of a beach,sunset shone on the wave by Monet，8k，ultra wide angle，unreal engine，colorful could",,,
89,,一幅美丽的中国水彩画，山色晚霞，云海清澈,A beautiful watercolor painting of china mountain sunset sea of clouds，clear,,,
90,,一幅美丽的中国长城的画，夜空中柔和的月光，在壮丽的约翰豪景观，背光，幻想，高清，格雷格鲁特科夫斯基，艺术工作站，虚幻引擎，灯光效果，wlop童话,"a beautiful painting of Great Wall of China, soft moonlight in the night sky, in Magnificent john howe landscape, backlight, fantasy, high-definition, greg rutkowski, artstation, unreal engine, light effect, wlop fairy tale",,,
91,,概念艺术，哑光绘画，刺客信条，港口沐浴在黄色的夕阳，巨大的中世纪蒸汽帆船停在港口，彼得塞维林,"concept art, matte painting, Assassin's Creed, harbour bathed in yellow sunset, Huge medieval steam sailing ship parked in harbour, Peder Severin",,,
92,,1920年夏天法国一条寂静的街道上的一幅美丽的画，中景，没有生物，由greg rutkowski和Thomas kinkade创作，Trending on artstation。,"A beautiful painting of a slience street of France in the summer of 1920, mid range,no living creatures, by greg rutkowskiand Thomas kinkade,Trending on artstation."",""light blue color scheme""""",,,
93,,一幅关于天堂花园，光，天空，魔法的美丽画作，由Jorge Jacinto创作，在artstation上流行，概念艺术,"A beautiful painting of Paradise Garden , light , sky , magic , by Jorge Jacinto , trending on artstation , concept art",,,
94,,“一艘飞船降落在城市上空，由Pablo Carpio以高分辨率渲染，8K，未来，光线追踪，燃烧的地面城市，虚幻引擎，明亮，在艺术站点上的趋势”,"""A spaceship descends over the city,rendered in high resolution by Pablo Carpio,8K,future, ray tracing, burned ground cities，Unreal Engine,bright,Trending on artstation""",,,
95,,“概念艺术，哑光绘画，在一个金色的秋夜，一个华丽的天堂宫殿站在一个宁静的湖上，宏伟的约翰豪景观，幻想，童话，在艺术站上流行，由caleb Worcester和SAMUEL BEAL，虚幻引擎，光效果。”,"""concept art, matte painting, on a golden autumn night, an gorgeous paradise palace standing on a tranquil lake, in Magnificent john howe landscape, fantasy, fairy tale, trending on artstation, by caleb Worcester and SAMUEL BEAL, unreal engine, light effect""",,,
96,,“概念艺术，哑光绘画，在一个金色的秋天的早晨，一个华丽的天堂宫殿站在一个宁静的湖，在壮丽的约翰豪景观，幻想，童话，在艺术站趋势，由卡斯帕大卫弗里德里希，虚幻引擎，光效果”,"""concept art, matte painting, on a golden autumn morning, an gorgeous paradise palace standing on a tranquil lake, in Magnificent john howe landscape, fantasy, fairy tale, trending on artstation, by Caspar David Friedrich, unreal engine, light effect""",,,
97,,“概念艺术，哑光绘画，在一个金色的秋夜，一个华丽的天堂宫殿站在一个宁静的湖上，在壮丽的约翰豪景观，幻想，童话，在艺术站的趋势，由caleb Worcester和SAMUEL BEAL，虚幻引擎，光效果，星光”，“暖色方案”,"""concept art, matte painting, on a golden autumn night, an gorgeous paradise palace standing on a tranquil lake, in Magnificent john howe landscape, fantasy, fairy tale, trending on artstation, by caleb Worcester and SAMUEL BEAL, unreal engine, light effect, starlit"",""warm color scheme""",,,
98,,这是一个美丽的史诗cg，完美地描绘了史诗般的壮丽景象、校园、寂静山、凶杀、恐怖、恐怖气氛、临近的夜晚、破旧的外观、壮丽的场景、虚拟引擎、明亮、壮观和非常广阔、统一引擎、光线追踪、逼真的纹理材质，由lee madgwick、hubert robert创作,"A beautiful epic cg of A perfect depiction of a Epic magnificent spectacle，campus, silent hill, homicide, horror, creepy atmosphere, approaching evening, run-down look，Magnificent scenes，virtual engines，bright，Magnificent and very vast，Unity engine，ray tracing，Realistic texture materials，by lee madgwick，hubert robert",,,
99,,史诗般的CG风景画，开阔的视野，不祥的天空，红玫瑰，明亮的风格，灯光效果，清理，清理，虚幻引擎，托马斯·金卡德，artstation,"An epic CG landscape painting,Expansive view,Ominous sky,Red rose,Bright style,Light effect,Clearing,Clearing,Unreal engine,Thomas kinkade,artstation",,,
