,,
英文关键词,成品效果样板图,备注
"The future city of Tokyo at night, with many cherry blossoms in full bloom, petals floating in the sky, in the style of studio ghibi, fantasy,8k --aspect 9:16",,未来的东京之夜，樱花盛开，花瓣漂浮在天空中，以吉比工作室的风格，幻想，8k-方面9:16
"Night, flowers, small crescent moon in the sky, snow, ice，Super wide angle view, red rose garden + beautiful paintings in the factory area,all abandoned factories, scattered roses, snow, rose path, fiery ovules and lava crystal ginger, Blizzard style art station trend, magical light fog, glacier, rainbow, tree cloud, volume lighting, UE4, ZBrush, marmoset toolkit HD--hd --ar 9:16",,夜，花，天空中的小新月，雪，冰，超广角视图，红玫瑰园+工厂区的美丽画作，所有废弃的工厂，分散的玫瑰，雪，玫瑰路，火红的胚珠和熔岩水晶姜，暴雪风格的艺术站趋势，神奇的光雾，冰川，彩虹，树云，体积照明，UE4，ZBrush，狨猴工具包HD--HD--ar 9:16
"Fiery frozen roses in the glacier, frozen roses, tall abandoned factories, scattered roses, glacier waterfalls, snow, rose path, fiery ovules and lava crystal ginger, Blizzard style art station trend, magical light fog, glacier, rainbow, tree cloud, volume lighting, UE4, ZBrush, marmoset toolkit HD --ar 9:16",,冰川中炽热的冰冻玫瑰，冰冻玫瑰，高大的废弃工厂，分散的玫瑰，冰川瀑布，雪，玫瑰路径，炽热的胚珠和熔岩水晶姜，暴雪风格的艺术站趋势，神奇的光雾，冰川，彩虹，树云，体积照明，UE4，ZBrush，绒猴工具包HD--ar 9:16
"Gorgeous golden Chinese palace, CG rendering Chinese style, overlooking, mythology, fairyland, surrounded by roses, rose path. Rose bushes, clear and bright roses, lighting effects, dreams, starry sky, super details, illustrations, 16K unreal engine, ethereal clouds. Moon Palace, HD 16K processing,,HD --ar 9:16",,华丽的金色中式宫殿，CG渲染中式风格，俯瞰，神话，仙境，玫瑰环绕，玫瑰径。玫瑰丛，清澈明亮的玫瑰，灯光效果，梦想，星空，超级细节，插图，16K虚幻引擎，虚幻云。月亮宫，HD 16K处理，HD-ar 9:16
"Huge crystal Gothic palace, dream, clouds,Romantic， many red roses, romantic lights, light blue clouds, white stars, fantasy bubble, super wide angle, octane rendering, super detail,HD, A ultra-realistic CG rendering 4k --ar 9:16",,巨大的水晶哥特式宫殿，梦想，云，浪漫，许多红玫瑰，浪漫的灯光，淡蓝色的云，白色的星星，幻想泡泡，超广角，辛烷渲染，超细节，高清，超现实CG渲染4k-ar 9:16
"Gorgeous mythology South Gate, CG rendering Chinese style, overlooking, mythology, fairyland, clear and bright roses, lighting effects, dreams, starry sky, super details, illustrations, 16K unreal engine, ethereal clouds. 16K resolution,  8k resolution, Moon Palace, HD 16K processing,,HD --ar 9:16",,华丽的神话南门，CG渲染中国风格，俯瞰，神话，仙境，清澈明亮的玫瑰，灯光效果，梦幻，星空，超级细节，插图，16K虚幻引擎，虚幻云。16K分辨率，8k分辨率，月亮宫，高清16K处理，HD-ar 9:16
"Gorgeous crystal palace, CG rendering European style, overlooking, fairy tale, rose surround, lighting effect, dream, starry sky, super detail, illustration, 16K, unreal engine, ethereal cloud, HD, --ar  9:16",,华丽的水晶宫，CG渲染欧洲风格，俯瞰，童话，玫瑰环绕，灯光效果，梦想，星空，超细节，插图，16K，虚幻引擎，虚幻云，高清，-ar 9:16
"Gorgeous golden Chinese palace, CG rendering Chinese style, overlooking, mythology, fairyland, surrounded by roses, rose path. Rose bushes, clear and bright roses, lighting effects, dreams, starry sky, super details, illustrations, 16K unreal engine, ethereal clouds. Moon Palace, HD 16K processing,,HD --ar 9:16",,华丽的金色中式宫殿，CG渲染中式风格，俯瞰，神话，仙境，玫瑰环绕，玫瑰径。玫瑰丛，清澈明亮的玫瑰，灯光效果，梦想，星空，超级细节，插图，16K虚幻引擎，虚幻云。月亮宫，HD 16K处理，HD-ar 9:16
"symmetrical realistic luxurious pink butterfly made of transculent diamonds on a white background,unreal engine,8k,C4D,photo real ultra high detail,sunrays from the back, cinematic lighting, water reflecting light --ar 3:4",,对称、逼真、奢华的粉色蝴蝶，白色背景上由变化无常的钻石制成，虚幻引擎，8k，C4D，照片真实的超高细节，来自背面的阳光，电影灯光，水反射光——ar 3:4
"Crystal temple, paradise, sparkling heart-shaped clouds, luminous water, super-detail, dream, 8K, art station. Panorama. Ultra-wide viewing angle, stereo light, high-definition picture quality, quality 3, clear details. --ar 9:16",,水晶寺庙，天堂，闪闪发光的心形云，发光的水，超细节，梦想，8K，艺术站。全景超宽视角，立体光，高清画质，画质3，细节清晰--ar 9:16
"under water lot of berries, strawberries, watermelon, candy, bubbles, sweets, water splash, many water droplets, very bright shiny, wide lens, hyper realistic, 8k, octane render, vibrant colors --w 500 --h 1000",,水下有很多浆果、草莓、西瓜、糖果、泡泡、糖果、水花、许多水滴、非常明亮闪亮、宽镜头、超逼真、8k、辛烷渲染、鲜艳的颜色——w 500--h 1000
"Early sunrise, lake, moon, boat, water lilies, fog on the water, big fullmoon in the sky, in the painting style of Monet --ar 3:4 --hd",,清晨的日出，湖泊，月亮，船，睡莲，水上的雾，天空中的大满月，莫奈的绘画风格——ar 3:4——hd
"At night, there is a crescent moon in the sky, Pink cherry blossoms，cherry blossoms in the valley, pavilions in the valley, and a river in the valley. Cherry blossoms are all over the valley, trees, snow, and transparent water，Super beautiful， volume lighting, UE4, ZBrush, marmoset toolkit HD --ar 9:16",,晚上，天空中有一轮新月，粉红色的樱花，山谷里有樱花，峡谷里有亭子，山谷里还有一条河。樱花遍布山谷，树木，雪和透明的水，超级美丽，体积照明，UE4，ZBrush，绒猴工具包HD-ar 9:16
"Ancient Chinese ultra-realistic CG rendering, with a creek, on the water town of Jiangnan, in the evening, Chinese architecture, maple trees with milky leaves, snow scenes, moon in the sky, HD --ar 9:16",,中国古代超现实CG渲染，江南水城上的一条小溪，傍晚，中国建筑，枫树和乳白色的叶子，雪景，天空中的月亮，HD-ar 9:16
"One kind of flower is pink, its petals are transparent, deep as sea water, crystal like dew, it can feel the loyalty and purity of love, 8K ,HD --ar 9:16",,一种花是粉红色的，它的花瓣是透明的，像海水一样深，像露水一样晶莹剔透，它能感受到爱的忠诚和纯洁，8K，HD-ar 9:16
There is a big waterfall with dark green water. There is a big river under the waterfall. The river is green in depth. There are many tender green grass and many yellow flowers beside the river. There are tender green pine trees and blue sky on the top HDR --ar 9:16,,有一个深绿色的瀑布。瀑布下有一条大河。这条河深绿色。河边有许多嫩绿的草和许多黄色的花。山顶上有嫩绿的松树和蔚蓝的天空
" water falls from heaven and splashes down on piles of dry bones, desert valley, photorealistic --ar 9:16",,水从天而降，溅到成堆的干骨头上，沙漠谷，真实感——ar 9:16
"One kind of flower is pink, its petals are transparent, deep as sea water, crystal like dew, it can feel the 8k --ar 9:16",,一种花是粉红色的，它的花瓣是透明的，像海水一样深，像露水一样晶莹剔透，它能感觉到8k--ar 9:16
"One orange full moon hangs in the clean dark blue night sky with reflections of calm lake water, dead trees, stars,fog, mystery, tranquility, self-healing,fireflies,cinematic lighting,super wide,f8,Parallel perspective,blue-orange tones,8k hd wallpaper,low light at night --ar 9:16",,一轮橙色的满月挂在干净的深蓝色夜空中，反射着平静的湖水、枯树、星星、雾、神秘、宁静、自愈、萤火虫、电影灯光、超宽、f8、平行透视、蓝橙色色调、8k高清壁纸、夜间微光——ar 9:16
" A ultra-realistic CG rendering of Ancient China, Spring, morning, blue sky, pale green clouds, lakes, water falls, big weeping willow sprouting,,sunshine, fairy tale, lighting effects, fantasy, Thomas Kincaid, Unreal Engine, hyperrealistic style, 4K, ultra wide Angle, art station, HD --ar 9:16",,古代中国的超现实CG渲染，春天，早晨，蓝天，淡绿色云，湖泊，瀑布，大垂柳萌芽，阳光，童话，灯光效果，幻想，托马斯·金凯，虚幻引擎，超现实风格，4K，超广角，艺术站，HD-ar 9:16
"There are pinkish pink flowers. The flowers are dandelion-like, and the petals are as deep as in sea water, as dewdrops. It Can Feel the Loyalty and Purity of Love, HD --ar 9:16",,有粉红色的花。花朵像蒲公英，花瓣像露珠一样深。它能感受到爱的忠诚和纯洁，HD-ar 9:16
"fantasy style, foggy mangrove bayou with a large rock in the water, dark, spooky --ar 9:16",,梦幻风格，雾蒙蒙的红树林海湾，水中有一块大石头，黑暗，诡异——ar 9:16
"Amazing palace,paradise,sapphire,ruby,crystal,jade,surreali sm,pink rose,flower,fantasy,movie epic effect, exquisite, ultra wide field of view,CG rendering3D, realism, detail, HD, machinery, moon, sky and stars, pond, realism, redshift rendering, CGI, 3D, ultra detail, realistic, 8K, masterpiece, function artstation,ultral wide angle --ar 9:16",,惊人的宫殿，天堂，蓝宝石，红宝石，水晶，翡翠，超现实主义，粉红玫瑰，花朵，幻想，电影史诗效果，精致，超宽视野，CG渲染3D，现实主义，细节，高清，机械，月亮，天空和星星，池塘，现实，红移渲染，CGI，3D，超细节，现实，8K，杰作，功能艺术站，超广角——ar 9:16
"Golden sky like angel wings, lake, True HD, Ultra wide Angle panorama, Ultra HD, 8K realistic, high pixel, crack, Landscape photography by Marc Adamus, HD --ar 9:16",,
"this is surreal and exquisite CG rendering. Atnight, the pale blue sky, glaciers covering the beach,purple heart-shaped stones, glowing paths, roses, themoon, starlight, art, high definition, starry sky, manytiny and colorful luminous particles, illuminated by theMilky Way, the Arctic, tundra and icebergs, fantasy,high details, beauty, 8K, octane light and shadow,complicated details, super wide angle, panoramicshooting, 8k. High definition.Volumetric light，8K HD --ar 9:16",,
"The whole picture is fragmented, and the stars in the night sky and the broken ice lake are shining. Light blue aurora, spiritual light, stars, stars shining, breaking ice lake, breaking starry sky, galaxy, Michael james smith matte painting, CG rendering, volume light, space art, bioluminescence, unreal engine 5, super wide angle, high definition, volume light, volume light volume light,HD --ar 9:16",,
"The feeling of fragmentation of the whole picture, Night Sky, The stars on the broken ice lake shine. Yellow Aurora, Spirit Light, Stars, Stars Flash, Break up the ice lake, break the starry sky, Galaxy, Michael James Smith Matte Painting, CG Rendering, Volume Light, Space Art, Bioluminescence, Unreal Engine 5, Ultra Wide Angle, High Definition, HD,volume light，volume lightVolumetric light HD --ar 9:16",,
"At night, the Milky way, starlight, golden moon, milky way starlight are scattered on the beach, there are many luminous creatures, the beach is the shape of love and roses, pebbles, luminous creatures, fluorescence, pink, color, fantasy, ultra wide angle light, illusory engine, 4K HD volume light, bioluminescence, ultrawide angle of view,HD --ar 9:16",,
"National Day, Great Wall, early morning sky and sunrise, close-up, long-range, looking up, ultra-realistic, realistic, high-quality details, super wide-angle lens, beautiful, dreamy, 16K resolution, ultra-clear, light art, octane rendering, high definition,HD --ar 9:16",,
"Beautiful Pictures, Beautiful Colorful Stars Great Waterfall, Dark Blue, Smoke Stars, Romantic Stars, Romantic Glowing particles, Romantic glowing creatures, Magic Halo, Magic clouds, dream mystery, romantic waterfalls, Soft Light, 8k, 8 km, Ultra HD, picture real, lucky digital rendering, dark blue landscape photographyHD --ar 9:16",,
A beautiful cherry blossom opens at night in the style of Jibi Studio and Jibi Studio， 8k --aspect 9:16 --v 3,,
"A tree is covered with lots of orange Persimmons , the leaves are red , and there are many beautiful red wild flowers under the tree. It is resplendent, dreamy, light effect, 4K.HD --ar 9:16",,
"In the night sky,the stars shine on the silky lake, and the light green roses float on the water. Aurora, fairy light, stars, twinkling stars, a meteor across the sky,wide lake,starry sky,Michael James Smith's matte painting,CG rendering,volumetric light, space art, bioluminescence, illusory engine5,super wide angle, high definition, HD,HD --ar 9:16",,
"A beautiful cherry blossom opens at night in the style of Jibi Studio and Jibi Studio , illusion engine 5, ultra wide angle, high-definition, high-definition 8K, high-definition， 8k --aspect 9:16 --v 3",,
"Night Sky, Stars Shine on Silk Lake, Yellow Aurora, Spirit Light, Stars, Stars Flash, Wide Lake, Star Sky, Galaxy, Michael James Smith Matte Painting, CG Rendering, Volume Light, Space Art, Bioluminescence, Unreal Engine 5, Ultra Wide Angle, High Definition, HD --ar 9:16",,
"A ultra-realistic CG rendering of Ancient China,There is a stream, jiangnan ancient buildings on besides of thet stream,in the evening,Maple with milky leaves tree,snow scene， a moon in the sky，HD --ar 9:16 --iw 10",,
"There is a lily of the valley, which is pink. Petals as deep as sea water, crystal clear as dew. There are many greenleaves on the flower branches, and many crystal white button chrysanthemums. lt can feel the loyalty and purity of love HD, high quality, photo realistic, high detail, 8k --ar 9:16",,
"The picture is transparent, a large silvery white crescent is sprinkled on the sand accompanied by the Milky Way stars, there are many pink and blue roses floating on the sand, pink and blue roses floating on the sea, a beach in the shape of a heart, glowing creatures, Silver, Unreal Engine, Ultra Wide, 16K HD, HD. --ar 9:16",,
"There is a pink rose waterfall on the edge of the cliff glowing at night.The shadow of the trees is hazy. There are huge pink roses around many waterfalls. The petals are scattered in the water. Misty rain, glow, dreamy pink roses, fog and gauze float around the waterfall.magical light fog, night, shimmer, Picture, 8K, streaming media, marmoset kit, HD，16K，UE4 --ar 9:16",,
"Lycoris recoil, Japanese animation, multiple exposures, yellow spider chrysanthemum, Tokyo forest, super detail, long exposure, dramatic light, 8K,HD --ar 9:16",,
"Swiss town, hyperrealistic cartoon. Beautiful blooming fireworks, pink snow, trains moving through the snow, winter, lighting effects, starry sky, high detail, realistic, 8K, Art Station, Makoto Shinkai --ar 9:16",,
"This is a painting depicting the depression of the four famous Chinese novels ""Dream of Red Mansions"", the wedding in the gate of the ancient Chinese building, eerie, depressing style, Chinese red, lanterns, ingenious, central axis composition, cyberpunk, super clear details description, --ar 9:16",,
"Pink aurora in white snow, snow mountain,river,snowstorm,colorful stars twinkling, Unreal Engine, 4K HD, HD --ar 9:16",,
"Glittering green flaming lotus flower with a pearl in the middle of the lotus, floating and burning on water, symmetrical, evil, destruction, spooky, self-luminous, virtual engine, 8K, chaos --ar 9:16",,
"Glittering green flaming lotus flower with a pearl in the middle of the lotus, floating and burning on water, symmetrical, evil, destruction, spooky, self-luminous, virtual engine, 8K, chaos --ar 9:16",,
"Lycoris recoil, Japanese animation, multiple exposures, white spider chrysanthemum, Tokyo forest, super detail, long exposure, dramatic light, 8K,HD --ar 9:16",,
"Lycoris recoil, Japanese animation, multiple exposures, green spider chrysanthemum, Tokyo forest, super detail, long exposure, dramatic light, 8K,HD --ar 9:16",,
"<https://i.mj.run/87816c13-ab59-4373-b29b-b19f5a999238/0_2.png> Lake surrounded by woods at night, galaxies in the sky reflected in the water, golden clouds, sunset red, unrealengine, super realistic, intricate details and rich colors dreamy, The sky is full of redclouds,super wide-angle light , Unreal Engine, The bigmoon,8K HD,HD --ar 9:16",,
"Crossing HD CG, Lotus in Golden Fire, Self-luminous White Rose Cloud, Blue Sky, Huge Lightning, Light Effect, 8K, Ultra HD, Blizzard-style Art Trend, Noctilucent Fog Noctilucent, HD --ar 9:16",,
"Through HD CG, Lotus in Golden Fire, Huge Lightning Through White Rose Cloud, Blue Sky, Light Effect, 8K, Ultra HD, Wind-rain Lightning Art Trend, Noctilucent Fog Noctilucent, HD --ar 9:16",,
"Imagine Angel, Beautiful, Magical, Back of Goddess Wu, Green Lotus, Dark Green Lotus Floating, Adventure, Mirror, Glass, Magic Array , magic circle, fantasy, fog, light, crystal, gold, green, nebula, surreal, unreal, angel, beautiful, magical, Valkyrie, medium, magical. Mirror, Glass, Magic Circle, Might and Magic, Fantasy, Mist, Fluorescent, Crystal, Black, Nebula, Surreal, Unreal Engine HD --ar 9:16",,
"Imagine an angel, beautiful, magical, magical, Chinese phoenix, big bird with green, yellow and red feathers, lotus base, dark green lotus Floating, adventure, mirror, glass, magic circle, magic circle, fantasy, fog, light, flame, crystal, gold, green, nebula, surreal, unreal angel, beautiful, magical, Valkyrie, medium, magical. Mirror, Glass, Magic Circle, Might and Magic, Fantasy, Mist, Fluorescent, Crystal, Black, Nebula, Surreal, Unreal Engine HD --ar 9:16",,
"Imagine Angel, Beautiful, Magical, Goddess Wu Back, Green Lotus, Green Lotus, Adventure, Mirror, Glass, Magic Array, Magic Array, Fantasy, Mist, Light, Crystal, Gold , Green, Nebula, Surreal, Unreal Angel, Beautiful, Magical, Valkyrie, Intermediate, Magical. Mirror, Glass, Magic Circle, Might and Magic, Fantasy, Mist, Fluorescent, Crystal, Black, Nebula, Surreal, Unreal Engine HD --ar 9:16",,
"Imagine an angel, beautiful, bewitching, magical, China's Thousand-handed Avalokitesvara, Thousand-handed Avalokitesvara, super-detailed face, super-detailed , lotus base, dark green lotus floating, adventure, mirror, glass, magic circle, magic circle, fantasy, fog, light, flame, crystal, gold, green, nebula, surreal, unreal angel, beautiful, magical, Valkyrie, , magical. Mirror, Glass, Magic Circle, Might and Magic, Fantasy, Mist, Fluorescent, Crystal, Black, Nebula, Surreal, Unreal Engine HD --ar 9:16",,
"Imagine Angel, Beautiful, Magical, Goddess Wu, Red Lotus, Fire Element Red Lotus, Adventure, Mirror, Glass, Magic Array, Magic Array, Fantasy, Mist, Light, Crystal, Gold , Fire, Fire Element, Burning, Red, Red Light, Nebula, Surreal, Unreal Angel, Beautiful, Magical, Valkyrie, Intermediate, Magical. Mirror, Glass, Magic Circle, Might and Magic, Fantasy, Mist, Fluorescent, Crystal, Black, Nebula, Surreal, Unreal Engine HD --ar 9:16",,
"Imagine Angel, Beautiful, Magical, Goddess Wu, Red Lotus, Fire Element Red Lotus, Adventure, Mirror, Glass, Magic Array, Magic Array, Fantasy, Mist, Light, Crystal, Gold , Fire, Fire Element, Burning, Red, Red Light, Nebula, Surreal, Unreal Angel, Beautiful, Magical, Valkyrie, Intermediate, Magical. Mirror, Glass, Magic Circle, Might and Magic, Fantasy, Mist, Fluorescent, Crystal, Black, Nebula, Surreal, Unreal Engine HD --ar 9:16",,
"It is a beautiful picture. There are many huge blue roses floating in the deep sea, the brightness of the moon, magic clouds, several sailboats, giant sailboats, Klein Blue Dream rendering, surreal, surreal, super beautiful dream, HD,beautiful ethereal fairyland--HD --ar 9:16",,
" Through high definition CG, green big lotus in light green fire, Lightning,Light Effects, 8K, Ultra HD, Blizzard style art trends,Luminous fog luminous ，volume lightVolumetric light --ar 9:16",,
"Glittering blue flaming lotus flower, floating and burning on water, symmetry, self-illumination, virtual engine, 8K, chaos --ar 9:16",,
"Through high definition CG, golden big lotus in light golden fire, Lightning,Light Effects, 8K, Ultra HD, Blizzard style art trends,Luminous fog luminous ，volume lightVolumetric light --ar 9:16",,
"The lavender French sports car is parked at the romantic lavender flower seaside, and there are several roses on the sports car. The sea of flowers sparkled. The color is gorgeous. Star aurora appears in the sky, fairy tale world, fantasy, 8K, ，volume lightVolumetric light visible fluoresce hyperrealism photograph --ar 9:16 --iw 10",,
" Paleo landscape, beautiful paleoart, high grass, ferns, open plains, intricate detail, beautiful lighting, Brian engh, Albert bierstadt, peaceful, small river, idyllic, An Jung-hwan --ar 2:3 --test --creative --upbeta",,
"Top view, massive scale, animation concept art, Breath of the wilde, European photography, studio ghibli style, Clear reflection, A Luxury Monumental Futuristic building in art Nouveau Architecture, epic Plaza pool, 1.5 Crystal clear, sun rays:1.5 miyazaki, Craig Mullins dappled lighting, octane render, cinematic, photographic, realistic, highly detailed --w 1200 --h 2400 --no human --test --creative --upbeta",,
"Christmas village, illuminating light rays, in the style of Thomas Kinkade, matte painting, photorealistic, highly detailed, hd, hdr, uhd, unreal engine 5, 8k --ar 5:7 --test --upbeta --upbeta",,
 A Dandelion made of White crystal，Blue sky，epic，Art on Instagram，concept art，digital painting，3d，style of Psychedelia art，8K，hyperdetailed，render --ar 10:14 --test --creative --upbeta,,
"Elevation, Breath of the wilde, sun rays, 1.2 emil melmoth, 0.1 studio ghibli style, Epic red Torii Gate, The ground was flooded with a layer of shallow water, 1 tight temples alley in town of Kyoto, lush vegetation and flowers, white drogan, 0.1 dappled lighting, cinematic, photographic, realistic, highly detailed, matte painting --w 1200 --h 3000 --test --creative --upbeta",,
"beautiful fairytale landscape, 8k hyper detailed —ar 2:3 --upbeta --testp --upbeta",,
"hyperdetailed oasis with saguaro cacti and flowers emerging from ground of hyperdetailed fantasy desert that with a stream flowing through it that glows like the sunset, cinematic lighting, 8k, unreal engine, octane render, realistic --ar 16:24 --test --creative --upbeta --upbeta",,
silence lonely tree pine see water blue soft mist blue hour autumn photorealistic photography fine-art nature Finland Northern,,
"@The beach near is covered with colorful and luminous stones, and in the distance there are lighthouses + lights, fluorescent oceans, moonlight, and shining stars,, 3d, Ultra-wide viewing angle, Aerial view, Moonlight shines on a sea of twinkling stars, Reflection, featured on cg society, Volumetric light, space art, bioluminescence, unreal engine 5, Magic of light, rendered in unreal engine, Ultra-wide viewing angle, Aerial view, Ultra-wide viewing angle, 8k,8K --ar 9:16",,
"distant galaxies, matte painting. You can feel its loyalty and purity in the context of love. Light Blue View Photography by MakamosHD --ar 9:16",,
"fantasy christmas village, snowing, illuminating light rays, photorealistic, highly detailed, hd, hdr, uhd, unreal engine 5, 8k --ar 2:3 --test --s 5000 --upbeta",,
"fantasy christmas village, big christmas tree, presents, reindeers, elfs, snowing, illuminating light rays, photorealistic, highly detailed, hd, hdr, uhd, unreal engine 5, 8k --ar 2:3 --test --s 5000 --upbeta",,
"Through high definition CG,Red Rose in Fire, Lightning,Light Effects, 8K, Ultra HD, Blizzard style art trends,Luminous fog luminous volume lighting，HD --ar 9:16",,
"the king of all peonies feathers, peony flower petals kinsugi porcelain, blue and white, norimichi, Romain lenancker, zen, gold filaments, nacre, wabi sabi, black background, sam kaplan, goulko, cinematic light, soft shadows, flamingo, gold feathers, color background, hyper detailed, volumetric lighting,made of apricot , butterfly essence, insanely detailed and intricate, hypermaximalist, elegant, ornate, hyper realistic, super crowded, dense, 8k, an astronaut helmet full of flowers, rococo painting by Francois Boucher and Mandy Jurgens and Pino Daeni and Alfonso Mucha, mystical, classical sci-fi, beautiful, soft studio lighting, octane render, hyper detailed, volumetric lighting, global illumination, detailed and intricate environment, 8k, --ar 9:16  --test --creative --upbeta --upbeta",,
"Golden Lake under the starry sky, with huge transparent golden ice cubes, ice caves, yellow aurora, blue sky, shining stars, CG rendering, space art, bioluminescence, unreal engine 2, super wide angle, high definition, volume light, volume light. Co-created by Mark Addums and Vincent Favre  HD --ar 9:16",,
"Imagine Angel, Beautiful, Magical, Goddess Wu, Red Lotus, Fire Element Red Lotus, Adventure, Mirror, Glass, Magic Array, Magic Array, Fantasy, Mist, Light, Crystal, Gold , Fire, Fire Element, Burning, Red, Red Light, Nebula, Surreal, Unreal Angel, Beautiful, Magical, Valkyrie, Intermediate, Magical. Mirror, Glass, Magic Circle, Might and Magic, Fantasy, Mist, Fluorescent, Crystal, Black, Nebula, Surreal, Unreal Engine HD --ar 9:16",,
"Imagine angel, beautiful, magical, goddess Wu, red lotus, adventure, mirror, glass, magic circle, magic circle, fantasy, mist, light, crystal, gold, fire, burning, Red, Red Light, Nebula, Surreal, Unreal Angel, Beautiful, Magical, Valkyrie, Intermediate, Magical. Mirror, Glass, Magic Circle, Might and Magic, Fantasy, Mist, Fluorescent, Crystal, Black, Nebula, Surreal, Unreal Engine HD --ar 9:16",,
"Imagine Angel, Beautiful, Magical, Goddess Wu, Red Lotus, Burning Fire, Red Water Element, Adventure, Mirror, Glass, Magic Array, Magic Array, Fantasy, Fog, Light, Crystal, Gold, Nebula, Surreal, Unreal Angel, Beautiful, Magical, Valkyrie, Medium, Magical. Mirror, Glass, Magic Circle, Magic Gate, Fantasy, Mist, Fluorescent, Crystal, Black, Nebula, Surreal, Unreal Engine, HD --ar 9:16",,
"Imagine angel, beautiful, magical, goddess Wu, adventure, mirror, glass, magic circle, magic circle, fantasy, mist, light, crystal, gold, nebula, surreal, illusory angel, beautiful, magical, goddess Wu, in the middle, magical. Mirror, Glass, Magic Circle, Magic Gate, Fantasy, Mist, Fluorescence, Crystal, Black, Nebula, Surreal, unreal engine，HD --ar 9:16",,
"Imagine angel, beautiful, magical, goddess Wu, adventure, mirror, glass, magic circle, magic circle, fantasy, mist, light, crystal, gold, nebula, surreal, illusory angel, beautiful, magical, goddess Wu, in the middle, magical. Mirror, Glass, Magic Circle, Magic Gate, Fantasy, Mist, Fluorescence, Crystal, Black, Nebula, Surreal, unreal engine，HD --ar 9:16",,
"Imagine angel, beautiful, magical, goddess Wu, adventure, mirror, glass, magic circle, magic circle, fantasy, mist, light, crystal, gold, nebula, surreal, illusory angel, beautiful, magical, goddess Wu, in the middle, magical. Mirror, Glass, Magic Circle, Magic Gate, Fantasy, Mist, Fluorescence, Crystal, Black, Nebula, Surreal, unreal engine，HD --ar 9:16",,
"Imagine an angel, beautiful, magical, adventure, Mirror, glass, magic, magic, magic, Fantasy, Mist, light, Crystal, gold, nebula, surreal, Imaginary Angel, beautiful, magical, Angel, in the middle, amazing. Mirror, glass, Magic Circle, magic door, Fantasy, Mist, fluorescence, Crystal, pink, nebula, surreal, fantasy engine, HD --ar 9:16",,
"Imagine angel, beautiful, magical, goddess Wu, adventure, mirror, glass, magic circle, magic circle, fantasy, mist, light, crystal, gold, nebula, surreal, illusory angel, beautiful, magical, goddess Wu, in the middle, magical. Mirror, Glass, Magic Circle, Magic Gate, Fantasy, Mist, Fluorescence, Crystal, Black, Nebula, Surreal, unreal engine，HD --ar 9:16",,
"imagine angel, beautiful, magical, goddess Wu, white lotus, adventure, mirror, glass, magic circle, magic circle, fantasy, mist, light, crystal, gold, nebula, surreal , Unreal Angel, Beautiful, Magical, Wu Goddess, Middle, Magical. Mirror, Glass, Magic Circle, Might and Magic, Fantasy, Mist, Fluorescent, Crystal, Black, Nebula, Surreal, Unreal Engine HD --ar 9:16",,
"Imagine an angel, beautiful, magical, adventure, Mirror, glass, magic, magic, magic, Fantasy, Mist, light, Crystal, gold, nebula, surreal, Imaginary Angel, beautiful, magical, Angel, in the middle, amazing. Mirror, glass, Magic Circle, magic door, Fantasy, Mist, fluorescence, Crystal, pink, nebula, surreal, fantasy engine, HD --ar 9:16",,
" Imagine an angel, beautiful, magical, adventure, crushed ice, mirror, glass, Magic Circle, Magic Circle, Fantasy, Mist, light, Amethyst, fire, Nebula, surreal, imagine an angel, beautiful, magical, fantasy Angel, in the middle, magical. Mirror, glass, Magic Circle, magic door, Fantasy, Mist, fluorescence, Crystal, black, nebula, surreal, fantasy engine，HD --ar 9:16",,
" Imagine angel, beautiful, magical, goddess Wu, adventure, mirror, glass, magic circle, magic circle, fantasy, mist, light, crystal, gold, nebula, surreal, illusory angel, beautiful, magical, goddess Wu, in the middle, magical. Mirror, Glass, Magic Circle, Magic Gate, Fantasy, Mist, Fluorescence, Crystal, Black, Nebula, Surreal, unreal engine，HD --ar 9:16",,
" Imagine angels, beautiful women, magic, goddess of luck, adventure, glass, diamonds, magic world, fantasy, colorful wings, fog, light, crystal, gold, nebula, surrealism, imagine angels, beauty, magic, goddess of freedom, in the middle, magic. Mirror, glass, golden wings, magic stick, magic corolla, fantasy, fog, diamond, fluorescence, crystal, black, nebula, surreal, virtual engine, 8K, 16K HD, 50 million cameras, super wide angle, overlooking, decorative lines, cloud sea, 3D lighting, sky, dream, fairy tale, author: shallow ink，HD --ar 9:16",,
"Imagine the lotus angel, in the heart of the flower, bit by bit to present it beautiful, magic, witch goddess, adventure, mirror, glass, magic circle, magic circle, fantasy, fog, light, crystal, gold, nebula, surreal, unreal angel, beautiful, magic, witch goddess, middle, magic. Mirrors, glass, magic circles, Might and Magic Doors Fantasy, Mist, Fluorescence, Crystal, Black, Nebula, Surreal, unreal engine，HD --ar 9:16",,
"Through high definition CG, black big lotus in light white fire, Lightning,Light Effects, 8K, Ultra HD, Blizzard style art trends,Luminous fog luminous ，volume lightVolumetric light --ar 9:16",,
"Through high definition CG, golden big lotus in light golden fire, Lightning,Light Effects, 8K, Ultra HD, Blizzard style art trends,Luminous fog luminous ，volume lightVolumetric light --ar 9:16",,
